article_url,portal_name,portal_url,headline,published_at,article_author,language,rating_original,claim,claim_author,stated_at
https://correctiv.org/faktencheck/2026/05/28/cottbus-angeblichen-3500-hektar-solarpark-gibt-es-nicht/,correctiv,https://correctiv.org/,"Nein, es gibt keinen 3.500-Hektar-Solarpark bei Cottbus",28.05.2026,Max Bernhard,de,Falsch,Bei Cottbus sei ein 3.500-Hektar großer Solarpark auf einem ehemaligen Tagebaugelände in Betrieb genommen worden.,"{Evolved Chimp, Beiträgen in Sozialen Netzwerken}",01.05.2026
https://correctiv.org/faktencheck/2023/04/19/nicht-nur-die-eu-verbrennerverbot-wird-in-vielen-laendern-diskutiert/,correctiv,https://correctiv.org/,Nicht nur die EU: Verbrennerverbot wird in vielen Ländern diskutiert,19.04.2023,Steffen Kutzner,de,Fehlender Kontext,"Eine Karte zeige Länder, die im Jahr 2035 die Zulassung von Autos mit Verbrennungsmotoren verbieten wollen.",Beiträge in Sozialen Netzwerken,24.02.2023
https://correctiv.org/faktencheck/2025/06/23/ukraine-krieg-video-von-sich-bewegender-leiche-beweist-keine-inszenierung/,correctiv,https://correctiv.org/,Ukraine-Krieg: Video von sich bewegender „Leiche“ beweist keine Inszenierung,23.06.2025,Steffen Kutzner,de,Manipuliert,Ein Video zeige gefälschte Leichen in einem Fernsehbericht über die Ukraine.,"{Christian Abel, Beiträgen in Sozialen Netzwerken}",03.06.2025
https://correctiv.org/faktencheck/2024/09/20/dieses-video-zeigt-keinen-abschuss-eines-russischen-kampfjets-sondern-ein-computerspiel/,correctiv,https://correctiv.org/,Dieses Video zeigt keinen Abschuss eines russischen Kampfjets sondern ein Computerspiel,20.09.2024,Paulina Thom,de,Falscher Kontext,"Ein Video zeige, wie ein russisches SU-25-Kampfflugzeug von einer US-Flugabwehr abgeschossen wird.",Beiträgen auf Youtube und Facebook,07.08.2024
https://correctiv.org/faktencheck/2025/12/19/wie-ein-uebersetzungsfehler-zu-falschmeldungen-ueber-einen-angeblichen-anschlag-fuehrte/,correctiv,https://correctiv.org/,Wie ein Übersetzungsfehler zu Falschmeldungen über einen angeblichen Anschlag führte,19.12.2025,Steffen Kutzner,de,Falsch,"Ein Weihnachtsmarkt oder eine weihnachtliche Veranstaltung auf Guadeloupe sei Schauplatz eines Anschlags geworden, bei dem zehn Menschen starben.","{Julian Adrat, Elon Musk, Tommy Robinson, Beiträgen in Sozialen Netzwerken}",06.12.2025
https://correctiv.org/faktencheck/2020/02/21/angeblich-nicht-politisch-motiviert-falsche-behauptung-ueber-motiv-des-anschlags-in-hanau-im-umlauf/,correctiv,https://correctiv.org/,Angeblich nicht politisch motiviert? Falsche Behauptung über Motiv des Anschlags in Hanau im Umlauf,21.02.2020,Bianca Hoffmann,de,Größtenteils falsch,der mutmaßliche Täter von Hanau sei kein „politisch motivierter Extremist“ gewesen,PI-News,20.02.2020
https://correctiv.org/faktencheck/2025/11/07/massaker-im-sudan-google-maps-satellitenbild-wird-in-falschem-kontext-verbreitet/,correctiv,https://correctiv.org/,Massaker im Sudan: Satellitenbild wird in falschem Kontext verbreitet,07.11.2025,Max Bernhard,de,Falsch,Ein Satellitenbild zeige im November 2025 getötete Menschen im Sudan.,Beiträgen in Sozialen Netzwerken,02.11.2025
https://correctiv.org/faktencheck/2023/02/14/ard-interview-strack-zimmermann-hat-nicht-angedeutet-sie-wolle-deutsche-soldaten-in-die-ukraine-schicken/,correctiv,https://correctiv.org/,"ARD-Interview: Strack-Zimmermann hat nicht angedeutet, sie wolle deutsche Soldaten in die Ukraine schicken",14.02.2023,Steffen Kutzner,de,Falsch,Marie-Agnes Strack-Zimmermann wolle offenbar deutsche Soldaten in den Krieg in der Ukraine schicken. Das zeige eine Aussage von ihr in einem ARD-Interview.,Tiktok-Video,20.01.2023
https://correctiv.org/faktencheck/2026/05/22/kein-hantavirus-einsatz-foto-zeigt-marineuebung-im-jahr-2025/,correctiv,https://correctiv.org/,Kein Hantavirus-Einsatz: Foto zeigt Marineübung im Jahr 2025,22.05.2026,Kimberly Nicolaus,de,Falsch,"Ein Foto von Personen in Schutzkleidung und einem Kameramann ohne Schutzkleidung vor einem Schiff zeige, dass der Ausbruch des Andes-Hantavirus inszeniert sei.",Beiträgen in Sozialen Netzwerken,13.05.2026
https://correctiv.org/faktencheck/2022/06/08/diclofenac-wie-schmerzgele-wie-voltaren-ins-wasser-gelangen-und-tieren-schaden-koennen/,correctiv,https://correctiv.org/,Diclofenac: Wie Schmerzgele wie Voltaren ins Wasser gelangen und Tieren schaden können,08.06.2022,Sarah Thust,de,Richtig,"Einige Tiere seien in südlichen Gefilden an Diclofenac-Vergiftungen gestorben. Sie nähmen den Wirkstoff über Trinkwasser auf oder über andere Tiere, die sie gefressen hätten. Auch in Deutschland gelange der Wirkstoff in den Wasserkreislauf. Händewaschen helfe, um die Tiere davor zu schützen.",Facebook-Beitrag,11.05.2022
