article_url,portal_name,portal_url,headline,published_at,article_author,language,rating_original,claim,claim_author,stated_at
https://www.mimikama.org/indien-instagram-anzeigen-missbrauchsaufnahmen-von-kindern/,mimikama,https://www.mimikama.org/,Indien: Instagram-Anzeigen zu Missbrauchsaufnahmen von Kindern?,06.07.2026,Claudia Spiess,de,Richtig,"Instagram soll in Indien bezahlte Anzeigen ausgespielt haben, die zu Darstellungen sexuellen Kindesmissbrauchs führten. Die Anzeigen sollen Begriffe wie „rape video“ und „child video“ genutzt und auf Telegram-Kanäle verwiesen haben, auf denen solches Material verkauft wurde.",BBC,
https://www.mimikama.org/flucht-teheran-berge-nepal/,mimikama,https://www.mimikama.org/,Video zeigt keine Flucht aus Teheran,"{21.01.2026, 23.01.2026}",Claudia Spiess,de,Falsch,"In sozialen Netzwerken wird ein Video geteilt, das angeblich Tausende Einwohner aus Teheran zeigt, die über Bergregionen und abseits der Hauptverkehrswege fliehen. Ein eingeblendeter arabischer Text stellt einen Zusammenhang mit israelischen Luftangriffen und einer angeblichen Aufforderung zur Evakuierung Teherans her.",Soziale Medien,
https://www.mimikama.org/postete-das-weisse-haus-ein-trump-bild-mit-krone/,mimikama,https://www.mimikama.org/,Postete das Weiße Haus ein Trump-Bild mit „Long live the king“?,"{21.02.2025, 22.02.2025}",Hilde Ollig,de,Richtig,Das Weiße Haus veröffentlichte Mitte Februar 2025 auf seinen offiziellen Social-Media-Kanälen ein Bild von Donald Trump mit einer Krone und der Bildunterschrift „Long live the king“.,,
https://www.mimikama.org/foto-vom-begraebnis-iranischer-schuelerinnen-ist-ki-generiert/,mimikama,https://www.mimikama.org/,Foto vom Begräbnis iranischer Schülerinnen ist KI-generiert,"{04.03.2026, 28.03.2026}",Tom Wannenmacher,de,Falsch,"Ein virales Bild zeigt das gemeinsame Begräbnis von Mädchen, die bei einem israelischen Luftangriff auf eine Grundschule in der iranischen Stadt Minab getötet wurden.",,
https://www.mimikama.org/fake-steinmeier-zitat-nach-tat-in-aschaffenburg/,mimikama,https://www.mimikama.org/,Fake Steinmeier-Zitat nach Tat in Aschaffenburg verbreitet,"{03.02.2025, 22.08.2025}",Mimikama,de,Falsch,"Frank-Walter Steinmeier soll nach der Messerattacke in Aschaffenburg erklärt haben, er reise nach Afghanistan, um mit Afghaninnen und Afghanen über Gastfreundschaft zu sprechen, da dies Anschläge in Deutschland verhindern könne.",,
https://www.mimikama.org/trump-eine-gefahr-fuer-die-pressefreiheit/,mimikama,https://www.mimikama.org/,Trump: Eine Gefahr für die Pressefreiheit in Europa?,"{13.11.2024, 22.08.2025}",Hilde Ollig,de,Richtig,"Die Association of European Journalists (AEJ) warnt, dass die Politik des designierten US-Präsidenten Donald Trump gegen unabhängige Medien auch die Pressefreiheit in Europa gefährden könnte. Trumps Angriffe auf Medien und Drohungen mit Lizenzentzügen könnten autokratische Tendenzen in Europa verstärken und Nachahmer finden.",,
https://www.mimikama.org/foto-mit-abgebrochener-autofahne-ist-alt/,mimikama,https://www.mimikama.org/,Schwarz-Rot-Gold: Foto von abgebrochener Autofahne ist mindestens 10 Jahre alt,"{05.07.2024, 15.06.2026}",Hilde Ollig,de,Richtig,Ein auf Facebook kursierendes Foto einer abgebrochenen Deutschlandfahne an einem Auto sei aktuell und zeige einen Vorfall vom 15. Juni 2024 in Berlin.,,
https://www.mimikama.org/ist-die-orf-seite-wirklich-eine-faelschung/,mimikama,https://www.mimikama.org/,Ist die ORF-Seite wirklich eine Fälschung?,"{10.04.2024, 23.08.2025",Mimikama,de,Falsch,"Eine dem ORF nachempfundene Webseite behauptet, der österreichische Gesundheitsminister habe den TV-Gesundheitsexperten Siegfried Meryn angegriffen, um dunkle Pharmageschäfte zu vertuschen.",,
https://www.mimikama.org/martinelli-kettenbrief-2/,mimikama,https://www.mimikama.org/,Martinelli – Der ewige Kettenbrief,"{10.01.2024, 23.08.2025}",Claudia Spiess,de,Falsch,"Auf WhatsApp und in sozialen Medien wird vor einem angeblichen „Martinelli-Video“ auf WhatsApp gewarnt. Es wird behauptet, dass das Abspielen dieses Videos zu einer Malware-Infektion des Smartphones führen und es unbrauchbar machen könnte.",,
https://www.mimikama.org/ki-audios-taeuschen-entschuldigungen-vor/,mimikama,https://www.mimikama.org/,Gefälschte KI-Audios täuschen Tagesschau-Entschuldigungen vor,"{14.11.2023, 23.08.2025}",Mimikama,de,Falsch,"Mit drei Audiodateien entschuldigen sich die Tagesschau-Sprecher Susanne Daubner und Jens Riewa dafür, das Volk jahrelang „bewusst belogen“ zu haben – über Corona, den Ukraine-Krieg und Demonstrierende.",,
